Adverse Event,Count
hypotension,35
glomerular filtration rate decreased,34
abdominal distension,34
haemoglobin decreased,34
erectile dysfunction,34
liver injury,34
abdominal pain upper,33
blood lactic acid increased,33
impaired work ability,33
hyperparathyroidism secondary,33
spinal fracture,33
mental disorder,32
gene mutation,32
human immunodeficiency virus transmission,32
malnutrition,32
drug reaction with eosinophilia and systemic symptoms,32
spinal compression fracture,32
depressed mood,31
transaminases increased,31
pathological fracture,31
hiv-associated neurocognitive disorder,31
premature baby,31
glycosuria,31
metabolic acidosis,31
paradoxical drug reaction,30
renal failure acute,30
pregnancy on contraceptive,30
hepatomegaly,30
hypercholesterolaemia,30
irritability,29
microcephaly,29
product substitution issue,29
trisomy 18,29
ultrasound antenatal screen,28
no adverse event,28
suicide attempt,28
renal tubular acidosis,28
overdose,28
disseminated tuberculosis,28
drug hypersensitivity,27
tubulointerstitial nephritis,27
palpitations,27
dysuria,27
hallucination,27
brain herniation,27
oedema peripheral,26
histoplasmosis,26
bone disorder,26
generalised tonic-clonic seizure,26
exercise tolerance decreased,25
liver disorder,25
progressive multifocal leukoencephalopathy,25
meningomyelocele,25
renal pain,25
adverse drug reaction,25
drug eruption,25
chills,25
dysarthria,25
protein urine present,25
acute hepatic failure,25
renal tubular dysfunction,25
spina bifida,25
tooth fracture,25
intervertebral disc degeneration,24
septic shock,24
herpes zoster,24
gamma-glutamyltransferase increased,24
cardiac disorder,24
hypokalaemia,24
renal tubular necrosis,24
infection,24
memory impairment,24
hepatitis,24
hypoaesthesia,24
hepatic failure,23
folate deficiency,23
paraesthesia,23
splenomegaly,23
coronary artery disease,23
oesophageal candidiasis,23
spinal osteoarthritis,23
metabolic disorder,23
hepatocellular injury,23
polydactyly,23
hemiparesis,23
hospitalisation,22
leukopenia,22
tibia fracture,22
platelet count decreased,22
immunodeficiency,22
delirium,22
hepatitis b,22
pleural effusion,22
hypertriglyceridaemia,22
ascites,22
renal tubular disorder,22
rash pruritic,22
lymphopenia,21
chronic kidney disease-mineral and bone disorder,21
neuropsychiatric symptoms,21
cachexia,21
febrile neutropenia,21
cytomegalovirus chorioretinitis,21
laboratory test abnormal,21
congenital hydrocephalus,21
intentional product misuse,21
loss of consciousness,21
abdominal discomfort,21
osteoporotic fracture,20
musculoskeletal pain,20
amnesia,20
erythema,20
deep vein thrombosis,20
viraemia,20
photosensitivity reaction,20
dermatitis allergic,20
hepatitis cholestatic,20
portal hypertension,20
bone density abnormal,20
lethargy,20
gastrooesophageal reflux disease,20
mycobacterium avium complex infection,19
meningitis tuberculous,19
alopecia,19
dyspepsia,19
completed suicide,19
blood cholesterol increased,19
hepatic enzyme increased,19
ectopic pregnancy,19
vision blurred,19
disease progression,19
gastritis,19
hepatic fibrosis,19
creatinine renal clearance decreased,19
lipoatrophy,19
hydrocephalus,19
twin pregnancy,19
bone metabolism disorder,18
pyelonephritis,18
acute coronary syndrome,18
agitation,18
cerebellar ataxia,18
syncope,18
femoral neck fracture,18
acute stress disorder,18
blood triglycerides increased,18
encephalitis,18
low birth weight baby,17
lymphoedema,17
hydronephrosis,17
hypokinesia,17
cardiac failure congestive,17
gestational diabetes,17
nephrogenic anaemia,17
discomfort,17
drug level above therapeutic,17
bacterial sepsis,17
pre-eclampsia,16
clavicle fracture,16
neural tube defect,16
cardiac failure,16
hepatocellular carcinoma,16
neurosyphilis,16
gastric disorder,16
poor quality sleep,16
skin exfoliation,16
tachycardia,16
basedow's disease,16
central nervous system lesion,16
disorientation,16
pneumonia bacterial,16
muscle spasms,16
visual field defect,16
neoplasm malignant,16
blindness,16
night sweats,16
hyperphagia,15
visual acuity reduced,15
feeling abnormal,15
pregnancy on oral contraceptive,15
hydrocele,15
type 2 diabetes mellitus,15
clostridium difficile colitis,15
multiple injuries,15
post-traumatic stress disorder,15
deafness,15
cognitive disorder,15
tremor,15
therapy non-responder,14
inflammation,14
meningitis,14
extrapulmonary tuberculosis,14
cerebral ischaemia,14
rebound effect,14
pericardial effusion,14
medication error,14
dementia alzheimer's type,14
pancreatitis acute,14
tachypnoea,14
urinary tract inflammation,14
spinocerebellar disorder,14
malaria,14
altered state of consciousness,14
unevaluable event,14
erythema annulare,14
gout,14
placental disorder,14
bipolar disorder,14
liver function test increased,14
lipids abnormal,14
maternal drugs affecting foetus,13
angina pectoris,13
hypothyroidism,13
immune system disorder,13
abnormal behaviour,13
multi-organ failure,13
coma,13
burning sensation,13
intracranial pressure increased,13
therapeutic response decreased,13
hyperbilirubinaemia,13
cushing's syndrome,13
pallor,13
myopathy,13
hepatic steatosis,13
lipids increased,13
congestive cardiomyopathy,13
aggression,13
joint swelling,13
neoplasm progression,13
unmasking of previously unidentified disease,13
drug dose omission,13
intervertebral disc protrusion,13
musculoskeletal disorder,13
unintended pregnancy,13
therapy change,13
cryptococcosis,13
oral disorder,13
asthma,13
rash papular,13
cerebellar syndrome,12
castleman's disease,12
libido decreased,12
sensory disturbance,12
blood creatine phosphokinase increased,12
haematemesis,12
arthropathy,12
hepatosplenomegaly,12
blood alkaline phosphatase increased,12
tumour lysis syndrome,12
radius fracture,12
tinnitus,12
poisoning,12
glomerulonephritis,12
multiple organ dysfunction syndrome,12
rash erythematous,12
cystitis noninfective,12
immune reconstitution inflammatory syndrome associated kaposi's sarcoma,12
lumbar vertebral fracture,12
immunosuppression,12
injury,12
haemophagocytic lymphohistiocytosis,12
influenza like illness,12
road traffic accident,12
skin plaque,12
glucose tolerance impaired,12
mouth ulceration,12
oropharyngeal pain,12
metrorrhagia,12
urinary retention,12
non-cirrhotic portal hypertension,12
cd4 lymphocytes abnormal,12
bone marrow failure,12
musculoskeletal stiffness,12
umbilical hernia,12
hyperparathyroidism,12
toxic skin eruption,12
chromaturia,12
acquired immunodeficiency syndrome,11
rhabdomyolysis,11
covid-19,11
acquired gene mutation,11
vascular stent thrombosis,11
swelling,11
lichenoid keratosis,11
mitochondrial myopathy,11
hepatic necrosis,11
cerebral toxoplasmosis,11
non-hodgkin's lymphoma,11
lower respiratory tract infection,11
anaemia macrocytic,11
anencephaly,11
cataract,11
hypophagia,11
night blindness,11
respiratory disorder,11
blood glucose increased,11
visual impairment,11
aphasia,11
neck pain,11
neurological symptom,11
constipation,11
renal colic,11
hypocalcaemia,11
hepatitis toxic,11
hyponatraemia,11
cardiovascular disorder,11
oedema,11
renal transplant,11
skin hyperpigmentation,11
skin disorder,11
musculoskeletal toxicity,11
cardiac failure acute,10
pulmonary hypertension,10
urinary incontinence,10
gastrointestinal haemorrhage,10
mood swings,10
ultrasound antenatal screen abnormal,10
liver function test abnormal,10
conductive deafness,10
myelitis transverse,10
cardiac arrest,10
anal cancer,10
vitamin b12 deficiency,10
endocrine ophthalmopathy,10
leukocytosis,10
lymph node tuberculosis,10
hyperlactacidaemia,10
hypoxia,10
panic attack,10
feeling drunk,10
feeling hot,10
retinopathy,10
pneumonia pneumococcal,10
cervical vertebral fracture,10
pachygyria,10
varices oesophageal,10
uterine dilation and curettage,10
psychiatric symptom,10
hyperuricaemia,10
humerus fracture,10
tuberculoma of central nervous system,10
flushing,10
patella fracture,10
necrotising retinitis,10
vitritis,10
hydranencephaly,10
secondary syphilis,10
intestinal obstruction,10
therapeutic product effect incomplete,9
blood lactate dehydrogenase increased,9
oesophageal ulcer,9
otitis media,9
abdominal pain lower,9
oral discomfort,9
congenital anomaly,9
hemiplegia,9
foetal malformation,9
retroviral rebound syndrome,9
skull malformation,9
drug level decreased,9
nocturia,9
left ventricular dysfunction,9
abortion threatened,9
unresponsive to stimuli,9
psoriatic arthropathy,9
syphilis,9
peripheral swelling,9
chronic obstructive pulmonary disease,9
premature labour,9
mania,9
hepatic encephalopathy,9
degenerative bone disease,9
flatulence,9
dental caries,9
muscle atrophy,9
respiratory symptom,9
bradycardia,9
product administration error,9
porphyria non-acute,8
rash macular,8
fear-related avoidance of activities,8
haemorrhage,8
hyperthyroidism,8
dyspnoea exertional,8
spinal stenosis,8
dysphonia,8
bronchitis,8
spinal pain,8
hepatitis fulminant,8
cellulitis,8
fibula fracture,8
hypoglycaemia,8
dry mouth,8
arnold-chiari malformation,8
interstitial lung disease,8
ulna fracture,8
electrolyte imbalance,8
nodule,8
blood pressure increased,8
lung infiltration,8
mood altered,8
amenorrhoea,8
prescribed underdose,8
therapy cessation,8
histoplasmosis disseminated,8
oligohydramnios,8
abortion incomplete,8
papilloedema,8
prostate cancer,8
haematochezia,8
stress,8
psychotic symptom,8
myocarditis,8
drug level below therapeutic,8
exposure via breast milk,8
balance disorder,8
lymphoma,8
cholestatic liver injury,8
metastases to lymph nodes,8
intentional overdose,8
axonal neuropathy,8
carpal tunnel syndrome,8
atrophy,8
molluscum contagiosum,8
cholelithiasis,8
syndactyly,8
portal hypertensive gastropathy,8
bone marrow oedema,8
dermatitis exfoliative,7
ulcer,7
myelosuppression,7
influenza,7
atrial fibrillation,7
auditory,7
graves' disease,7
ophthalmic herpes zoster,7
lip swelling,7
spinal disorder,7
cholestasis,7
fear of falling,7
tuberculoid leprosy,7
bacteraemia,7
cytomegalovirus infection,7
radiculopathy,7
hyperreflexia,7
staphylococcal infection,7
weight fluctuation,7
renal mass,7
acute respiratory distress syndrome,7
diastasis recti abdominis,7
ovarian failure,7
myositis,7
scoliosis,7
sleep terror,7
acute psychosis,7
renal tubular injury,7
scar,7
cerebral infarction,7
arteriosclerosis,7
glomerular filtration rate increased,7
diabetic ketoacidosis,7
myocardial ischaemia,7
sexual dysfunction,7
mixed liver injury,7
viith nerve paralysis,7
hypotonia,7
transient ischaemic attack,7
paraparesis,7
endometrial sarcoma,7
monoclonal gammopathy,7
hypophosphataemic osteomalacia,7
body height decreased,7
sjs-ten overlap,7
epidermodysplasia verruciformis,7
atypical mycobacterial infection,7
toxic epidermal necrolysis,7
physical disability,7
exposure during breast feeding,7
hypermetabolism,7
paralysis,7
back injury,7
epistaxis,7
oral herpes,7
abdominal tenderness,7
stress fracture,7
hereditary optic atrophy,7
appendicitis,7
hyperphosphataemia,7
eating disorder,7
limb deformity,7
blood hiv rna,7
cervix carcinoma,7
faeces discoloured,7
porphyria acute,7
intestinal ischaemia,7
congenital acrochordon,7
fat tissue increased,7
schizophrenia,7
ischaemic stroke,7
amylase increased,7
drug dependence,7
candida infection,7
major depression,7
catatonia,7
macular oedema,7
abscess limb,7
arthritis infective,7
nasopharyngitis,7
full blood count decreased,7
viral load abnormal,7
gene mutation identification test positive,7
plagiocephaly,7
ventricular extrasystoles,7
skin necrosis,7
skin ulcer,7
micrognathia,7
cd4 lymphocytes increased,7
cerebral ventricle dilatation,7
blood urine present,7
hypopituitarism,7
productive cough,7
breast pain,7
ocular hyperaemia,7
encephalocele,7
white blood cell count decreased,6
no therapeutic response,6
hepatitis a,6
gingival bleeding,6
bronchial carcinoma,6
visceral leishmaniasis,6
polydipsia,6
benign hydatidiform mole,6
transfusion,6
necrosis,6
onychomycosis,6
superinfection bacterial,6
diabetes mellitus inadequate control,6
blood uric acid increased,6
uterine leiomyoma,6
pneumonia aspiration,6
joint stiffness,6
petit mal epilepsy,6
mycosis fungoides,6
goitre,6
myasthenia gravis,6
nephrotic syndrome,6
arrhythmia,6
crying,6
polyhydramnios,6
respiratory distress,6
mental impairment,6
craniocerebral injury,6
thinking abnormal,6
drug resistance mutation,6
tooth disorder,6
haemolytic anaemia,6
pneumothorax,6
joint injury,6
posterior reversible encephalopathy syndrome,6
hypertensive crisis,6
wound secretion,6
anaemia of chronic disease,6
illness,6
white blood cell disorder,6
rheumatic disorder,6
colitis microscopic,6
c-reactive protein,6
systemic scleroderma,6
stenosis,6
antiviral drug level below therapeutic,6
respiratory tract infection,6
papillary renal cell carcinoma,6
hyperglycaemia,6
contusion,6
aortic stenosis,6
glomerular filtration rate abnormal,6
depressed level of consciousness,6
apathy,6
low density lipoprotein increased,6
genitalia external ambiguous,6
bundle branch block left,6
cryptosporidiosis infection,6
meningitis viral,6
neuropsychological symptoms,6
nervousness,6
wheelchair user,6
rales,6
angioedema,6
urticaria,6
strabismus congenital,6
hepatitis acute,6
antiviral drug level above therapeutic,6
generalised oedema,6
central nervous system immune reconstitution inflammatory response,6
body fat disorder,6
enuresis,6
systemic lupus erythematosus,6
attention deficit/hyperactivity disorder,6
cerebral haemorrhage,6
papule,6
local swelling,6
blood creatinine abnormal,6
photophobia,6
chest discomfort,6
subcutaneous abscess,6
facet joint syndrome,6
oropharyngeal candidiasis,6
bone tuberculosis,6
csf hiv escape syndrome,6
congenital skin dimples,6
speech disorder,6
cleft palate,6
drug effect increased,6
skin toxicity,6
international normalised ratio increased,6
musculoskeletal deformity,6
rhinorrhoea,6
abdominal lymphadenopathy,6
protein total increased,6
mass,6
international normalised ratio fluctuation,6
bedridden,6
nonalcoholic fatty liver disease,6
musculoskeletal discomfort,6
gestational hypertension,6
developmental hip dysplasia,6
genital herpes,6
death neonatal,6
pulmonary mass,6
knee operation,6
migraine,5
conjunctivitis,5
eye haemorrhage,5
neutrophil count decreased,5
cervical dysplasia,5
hypospadias,5
dementia,5
exostosis,5
inappropriate schedule of product administration,5
cholecystitis acute,5
polyneuropathy chronic,5
restlessness,5
white matter lesion,5
upper respiratory tract infection,5
vitiligo,5
ankyloglossia congenital,5
calculus urinary,5
alcohol poisoning,5
limb injury,5
diffuse large b-cell lymphoma,5
sleep apnoea syndrome,5
type 1 lepra reaction,5
congenital cytomegalovirus infection,5
slow response to stimuli,5
portal vein thrombosis,5
dysdiadochokinesis,5
pemphigoid,5
hyperphosphaturia,5
hypertrophic cardiomyopathy,5
neck deformity,5
pyelonephritis acute,5
acute generalised exanthematous pustulosis,5
tendonitis,5
aids dementia complex,5
dysmorphism,5
grip strength decreased,5
skin discolouration,5
genetic polymorphism,5
cardiac murmur,5
cardiotoxicity,5
gastrostomy,5
pharyngitis,5
delayed puberty,5
lymphadenopathy mediastinal,5
medical diet,5
infertility,5
eyelid oedema,5
swelling face,5
hypercalcaemia,5
maternal exposure during breast feeding,5
product use in unapproved therapeutic environment,5
pigmentation disorder,5
red blood cell abnormality,5
gait inability,5
lymphadenitis,5
hepatic enzyme abnormal,5
muscle disorder,5
transplant rejection,5
peptic ulcer,5
genital prolapse,5
fibrosis,5
amniotic cavity infection,5
leukocyturia,5
premature separation of placenta,5
blood cholesterol abnormal,5
pneumonitis,5
maculopathy,5
spinal deformity,5
eczema,5
unwanted pregnancy,5
carotid arteriosclerosis,5
viral infection,5
hiv test positive,5
renal glycosuria,5
psoriasis,5
focal segmental glomerulosclerosis,5
oesophageal varices haemorrhage,5
dactylitis,5
osteomyelitis,5
spinal cord injury,5
intestinal perforation,5
pruritus generalised,5
chronic hepatitis,5
abortion missed,5
nasal obstruction,5
cytomegalovirus oesophagitis,5
foot deformity,5
purpura,5
lung disorder,5
brain neoplasm,5
toxoplasmosis,5
therapy interrupted,5
skin mass,5
fibrous histiocytoma,5
neuropsychiatric syndrome,5
tongue coated,5
acute myeloid leukaemia,5
left ventricular failure,5
scleroderma,5
hypogonadism,5
coccidioidomycosis,5
epilepsy,5
diabetes insipidus,5
spinal cord compression,5
brachydactyly,5
lymph node pain,5
meconium ileus,5
optic atrophy,5
vertebral foraminal stenosis,5
lipase increased,5
heart disease congenital,5
face oedema,5
body mass index increased,5
labelled drug-drug interaction issue,5
chronic gastritis,5
helicobacter infection,5
